Grapheme	Graphemes	IPA	Frequency	Sound_Types	CLTS
a͜ḕ	a͜ḕ	aɛː	1	diphthong	from unrounded open front to long unrounded open-mid front diphthong
œ̱̀͜i	œ̱̀͜i	œi	2	diphthong	from rounded open-mid front to unrounded close front diphthong
a͜ʋ̱	a͜ʋ̱	au	1	diphthong	from unrounded open front to rounded close back diphthong
ā̩̀	ā̩̀	aː	3	vowel	long unrounded open front vowel
u̩	u̩	y	9	vowel	rounded close front vowel
ū̩	ū̩	ʏ	11	vowel	rounded near-close near-front vowel
u͜à̱	u͜à̱	ya	1	diphthong	from rounded close front to unrounded open front diphthong
u͜a	u͜a	ya	1	diphthong	from rounded close front to unrounded open front diphthong
ūë̱	ūë̱	ỹːɛ	4	diphthong	from long nasalized rounded close front to unrounded open-mid front diphthong
ʋ̩̆i̱	ʋ̩̆i̱	ui	1	diphthong	from rounded close back to unrounded close front diphthong
oͮ̄è̱	oͮ̄è̱	oːɛ	2	diphthong	from long rounded close-mid back to unrounded open-mid front diphthong
oͮe̱ͥ	oͮe̱ͥ	oe	1	diphthong	from rounded close-mid back to unrounded close-mid front diphthong
a̩ͤ	a̩ͤ	æ	1	vowel	unrounded near-open front vowel
ʋ̄é	ʋ̄é	uːe	1	diphthong	from long rounded close back to unrounded close-mid front diphthong
ŭ͜è	ŭ͜è	yɛ	1	diphthong	from rounded close front to unrounded open-mid front diphthong
uė	uė	yə	1	diphthong	from rounded close front to unrounded mid central diphthong
i̩ė̱	i̩ė̱	ɪə	2	diphthong	from unrounded near-close near-front to unrounded mid central diphthong
ŭ̩	ŭ̩	y	735	vowel	rounded close front vowel
ēé̱	ēé̱	eːe	2	diphthong	from long unrounded close-mid front to unrounded close-mid front diphthong
ăʋ̆̀	ăʋ̆̀	aʊ	1	diphthong	from unrounded open front to rounded near-close near-back diphthong
ò̱œ̄	ò̱œ̄	ɔøː	8	diphthong	from rounded open-mid back to long rounded close-mid front diphthong
œ̀œ̱́	œ̀œ̱́	œø	1	diphthong	from rounded open-mid front to rounded close-mid front diphthong
ȯu̱	ȯu̱	ɔy	1	diphthong	from rounded open-mid back to rounded close front diphthong
o̱ʋ	o̱ꭒ	ou	1	diphthong	from rounded close-mid back to rounded close back diphthong
s̱	s̱	s	4	consonant	voiceless alveolar sibilant fricative consonant
ī̀ė̱	ī̀ė̱	ɪːə	4	diphthong	from long unrounded near-close near-front to unrounded mid central diphthong
ōa	ōa	oːa	1	diphthong	from long rounded close-mid back to unrounded open front diphthong
óo̱	óo̱	oː	1	vowel	long rounded close-mid back vowel
ė̩é̱	ė̩é̱	əe	1	diphthong	from unrounded mid central to unrounded close-mid front diphthong
a̱ͦ͜ṑ	a̱ͦ͜ṑ	ɒɔː	1	diphthong	from rounded open back to long rounded open-mid back diphthong
œ̀o̱ͮ	œ̀o̱ͮ	œo	5	diphthong	from rounded open-mid front to rounded close-mid back diphthong
ì̩	ì̩	ɪ	3	vowel	unrounded near-close near-front vowel
ō̩	ō̩	o	6	vowel	rounded close-mid back vowel
ŏ̩́ă	ŏ̩́ă	oa	1	diphthong	from rounded close-mid back to unrounded open front diphthong
ă̩ŏ́	ă̩ŏ́	ao	5	diphthong	from unrounded open front to rounded close-mid back diphthong
yœ̩͜u̱	y œ̩͜u̱	j øy	1	unknownsound	
aͤ͜oͮ	aͤ͜oͮ	æo	1	diphthong	from unrounded near-open front to rounded close-mid back diphthong
ya͜ò	y a͜ò	j aɔ	1	unknownsound	
ya͜ó	y a͜ó	j ao	1	unknownsound	
œ̄́u̱	œ̄́u̱	øːy	1	diphthong	from long rounded close-mid front to rounded close front diphthong
yă͜é̱	y ă͜é̱	j ae	1	unknownsound	
œ̆ŭ̀	œ̆ŭ̀	øʏ	1	diphthong	from rounded close-mid front to rounded near-close near-front diphthong
o̱œ̄	o̱œ̄	oøː	1	diphthong	from rounded close-mid back to long rounded close-mid front diphthong
a̩͜ò	a̩͜ò	aɔ	2	diphthong	from unrounded open front to rounded open-mid back diphthong
a͜ṓ	a͜ṓ	aoː	3	diphthong	from unrounded open front to long rounded close-mid back diphthong
ʋͧ̄a	ʋͧ̄a	ʉːa	2	diphthong	from long rounded close central to unrounded open front diphthong
ʋo̱	ꭒo̱	uo	1	diphthong	from rounded close back to rounded close-mid back diphthong
ï̩	ï̩	ɪ	1	vowel	unrounded near-close near-front vowel
ā̩ò̱	ā̩ò̱	aːɔ	6	diphthong	from long unrounded open front to rounded open-mid back diphthong
ṑ̩	ṑ̩	ɔː	4	vowel	long rounded open-mid back vowel
ò̩	ò̩	ɔ	16	vowel	rounded open-mid back vowel
é̩	é̩	e	2	vowel	unrounded close-mid front vowel
ẽ̱	ẽ̱	e	1	vowel	unrounded close-mid front vowel
z̾	z̾	z̥	3	consonant	devoiced voiced alveolar sibilant fricative consonant
ãẽ	ãẽ	ãẽ	15	diphthong	from nasalized unrounded open front to nasalized unrounded close-mid front diphthong
jͨ	jͨ	ʒ	4	consonant	voiced post-alveolar sibilant fricative consonant
œ̱̀͜ó	œ̱̀͜ó	œo	12	diphthong	from rounded open-mid front to rounded close-mid back diphthong
ăò̃	ăò̃	aɔ̃	1	diphthong	from unrounded open front to nasalized rounded open-mid back diphthong
è̩̄̃ĩ̱	è̩̄̃ĩ̱	ɛ̃ːi	2	diphthong	from long nasalized unrounded open-mid front to unrounded close front diphthong
è̩̃i̱	è̩̃i̱	ɛ̃i	1	diphthong	from nasalized unrounded open-mid front to unrounded close front diphthong
œ̩̀	œ̩̀	œ	1	vowel	rounded open-mid front vowel
œ̩̀̃	œ̩̀̃	ø	1	vowel	rounded close-mid front vowel
ė̱̃	ė̱̃	ə̃	1	vowel	nasalized unrounded mid central vowel
ăḕ	ăḕ	aɛː	1	diphthong	from unrounded open front to long unrounded open-mid front diphthong
ā̩é̱	ā̩é̱	aːe	1	diphthong	from long unrounded open front to unrounded close-mid front diphthong
ă̩ḕ	ă̩ḕ	aɛː	1	diphthong	from unrounded open front to long unrounded open-mid front diphthong
a̩ͤi̱	a̩ͤi̱	æi	1	diphthong	from unrounded near-open front to unrounded close front diphthong
ī̀o	ī̀o	ɪːo	1	diphthong	from long unrounded near-close near-front to rounded close-mid back diphthong
a̱ē	a̱ē	aeː	2	diphthong	from unrounded open front to long unrounded close-mid front diphthong
ṓó̱	ṓó̱	oːo	1	diphthong	from long rounded close-mid back to rounded close-mid back diphthong
là̃	l à̃	l ã	7	unknownsound	
o̱ã	o̱ã	oã	1	diphthong	from rounded close-mid back to nasalized unrounded open front diphthong
ḗé̱	ḗé̱	eːe	1	diphthong	from long unrounded close-mid front to unrounded close-mid front diphthong
ūė	ūė	ỹːə	5	diphthong	from long nasalized rounded close front to unrounded mid central diphthong
œ̱́ŭ̀	œ̱́ŭ̀	øʏ	1	diphthong	from rounded close-mid front to rounded near-close near-front diphthong
u͜ė	u͜ė	yə	1	diphthong	from rounded close front to unrounded mid central diphthong
o̱è̃	o̱è̃	oɛ̃	2	diphthong	from rounded close-mid back to nasalized unrounded open-mid front diphthong
œ̱̀͜ṓ	œ̱̀͜ṓ	œoː	2	diphthong	from rounded open-mid front to long rounded close-mid back diphthong
ė̱͜ó	ė̱͜ó	əo	1	diphthong	from unrounded mid central to rounded close-mid back diphthong
œ̱̀͜ó̩	œ̱̀͜ó̩	œo	1	diphthong	from rounded open-mid front to rounded close-mid back diphthong
ʋ̱̇	ʋ̱̇	ʊ	5	vowel	rounded near-close near-back vowel
a̱͜ò	a̱͜ò	aɔ	5	diphthong	from unrounded open front to rounded open-mid back diphthong
ă͜oͮ̆	ă͜oͮ̆	ao	1	diphthong	from unrounded open front to rounded close-mid back diphthong
yā͜ò̱	y ā͜ò̱	j aːɔ	1	unknownsound	
œ̩̄̀	œ̩̄̀	ø	2	vowel	rounded close-mid front vowel
a̱ͤó̩	a̱ͤó̩	æo	1	diphthong	from unrounded near-open front to rounded close-mid back diphthong
ò̱͜œ	ò̱͜œ	ɔø	1	diphthong	from rounded open-mid back to rounded close-mid front diphthong
ʋ̩ͧ	ʋ̩ͧ	ʉ	2	vowel	rounded close central vowel
u̩̇	u̩̇	ʏ	1	vowel	rounded near-close near-front vowel
ȯ̱ʋ	ȯ̱ꭒ	ɔu	1	diphthong	from rounded open-mid back to rounded close back diphthong
ʋͧ̆	ʋͧ̆	ʉ	14	vowel	rounded close central vowel
œ̄́ŭ̩	œ̄́ŭ̩	øːy	1	diphthong	from long rounded close-mid front to rounded close front diphthong
ă͜ĕ̀	ă͜ĕ̀	aɛ	1	diphthong	from unrounded open front to unrounded open-mid front diphthong
ā͜é̱	ā͜é̱	aːe	2	diphthong	from long unrounded open front to unrounded close-mid front diphthong
ĕ̩́	ĕ̩́	e	3	vowel	unrounded close-mid front vowel
ò͜è	ò͜è	ɔɛ	2	diphthong	from rounded open-mid back to unrounded open-mid front diphthong
ŏ̀i	ŏ̀i	ɔi	6	diphthong	from rounded open-mid back to unrounded close front diphthong
è͋ĩ̱	è͋ĩ̱	ɛi	1	diphthong	from unrounded open-mid front to unrounded close front diphthong
é͋	é͋	e	1	vowel	unrounded close-mid front vowel
ḗi	ḗi	eːi	2	diphthong	from long unrounded close-mid front to unrounded close front diphthong
óă	óă	oa	1	diphthong	from rounded close-mid back to unrounded open front diphthong
w̄	w̄	wː	2	consonant	long voiced labio-velar approximant consonant
^na̱ṑ̩va̱	n a̱ṑ̩ v a̱	n aoː v a	2	unknownsound	
aͤ͜ó	aͤ͜ó	æo	10	diphthong	from unrounded near-open front to rounded close-mid back diphthong
ȯ̱͜œ	ȯ̱͜œ	ɔø	1	diphthong	from rounded open-mid back to rounded close-mid front diphthong
œ̄̀u̱	œ̄̀u̱	œːy	7	diphthong	from long rounded open-mid front to rounded close front diphthong
œͦu̱	œͦu̱	ɞy	3	diphthong	from rounded open-mid central to rounded close front diphthong
œͦ̄o̱ͮ	œͦ̄o̱ͮ	ɞːo	1	diphthong	from long rounded open-mid central to rounded close-mid back diphthong
ʋ̃a̱	ʋ̃a̱	ũa	1	diphthong	from nasalized rounded close back to unrounded open front diphthong
ūa̱	ūa̱	ỹːa	5	diphthong	from long nasalized rounded close front to unrounded open front diphthong
œͧ̄	œͧ̄	øː	1	vowel	long rounded close-mid front vowel
yà	y à	j a	1	unknownsound	
ï̩̄	ï̩̄	ɪː	1	vowel	long unrounded near-close near-front vowel
i̩ò̩̃	i̩ò̩̃	ɪɔ̃	2	diphthong	from unrounded near-close near-front to nasalized rounded open-mid back diphthong
œ̱̀ò̄̃	œ̱̀ò̄̃	œɔ̃ː	1	diphthong	from rounded open-mid front to long nasalized rounded open-mid back diphthong
ū̩a	ū̩a	ʏa	4	diphthong	from rounded near-close near-front to unrounded open front diphthong
ʋ̩a̱	ʋ̩a̱	ua	2	diphthong	from rounded close back to unrounded open front diphthong
ù̩	ù̩	ʏ	2	vowel	rounded near-close near-front vowel
ū̀a̱	ū̀a̱	ʏːa	4	diphthong	from long rounded near-close near-front to unrounded open front diphthong
a̱ͤŏ́	a̱ͤŏ́	æo	2	diphthong	from unrounded near-open front to rounded close-mid back diphthong
ʋ͜ă	ʋ͜ă	ua	1	diphthong	from rounded close back to unrounded open front diphthong
œͦ̆ʋͧ	œͦ̆ʋͧ	ɞʉ	1	diphthong	from rounded open-mid central to rounded close central diphthong
ʋͧ̄a̱	ʋͧ̄a̱	ʉːa	1	diphthong	from long rounded close central to unrounded open front diphthong
ʋ̄a	ʋ̄a	uːa	1	diphthong	from long rounded close back to unrounded open front diphthong
u̩a	u̩a	ya	2	diphthong	from rounded close front to unrounded open front diphthong
i̩a̱	i̩a̱	ɪa	4	diphthong	from unrounded near-close near-front to unrounded open front diphthong
iò̩̃	iò̩̃	iɔ̃	1	diphthong	from unrounded close front to nasalized rounded open-mid back diphthong
ȧ̱	ȧ̱	ɐ	25	vowel	unrounded near-open central vowel
ó̩ʋ̱	ó̩ʋ̱	ou	1	diphthong	from rounded close-mid back to rounded close back diphthong
o̩ʋ	o̩ꭒ	ou	1	diphthong	from rounded close-mid back to rounded close back diphthong
ã̱é̃	ã̱é̃	aẽ	7	diphthong	from unrounded open front to nasalized unrounded close-mid front diphthong
iŏ	iŏ	io	1	diphthong	from unrounded close front to rounded close-mid back diphthong
ȱ	ȱ	ɔː	2	vowel	long rounded open-mid back vowel
œ̱ò̩̃	œ̱ò̩̃	øɔ̃	1	diphthong	from rounded close-mid front to nasalized rounded open-mid back diphthong
aʋ	aꭒ	au	6	diphthong	from unrounded open front to rounded close back diphthong
ă͜i̱	ă͜i̱	ai	1	diphthong	from unrounded open front to unrounded close front diphthong
œ̱͜ó	œ̱͜ó	øo	3	diphthong	from rounded close-mid front to rounded close-mid back diphthong
ŏ̀ĕ̀	ŏ̀ĕ̀	ɔɛ	1	diphthong	from rounded open-mid back to unrounded open-mid front diphthong
òă	òă	ɔa	1	diphthong	from rounded open-mid back to unrounded open front diphthong
œ̄́ʋ̱	œ̄́ʋ̱	øːu	1	diphthong	from long rounded close-mid front to rounded close back diphthong
œ̱ū̀	œ̱ū̀	øʏː	2	diphthong	from rounded close-mid front to long rounded near-close near-front diphthong
a̩ó	a̩ó	ao	2	diphthong	from unrounded open front to rounded close-mid back diphthong
ăò	ăò	aɔ	2	diphthong	from unrounded open front to rounded open-mid back diphthong
œͦʋ̱ͧ	œͦʋ̱ͧ	ɞʉ	1	diphthong	from rounded open-mid central to rounded close central diphthong
ʋͧ̄	ʋͧ̄	ʉː	11	vowel	long rounded close central vowel
œͧ	œͧ	ø	1	vowel	rounded close-mid front vowel
ṑ͜ó̱	ṑ͜ó̱	ɔːo	1	diphthong	from long rounded open-mid back to rounded close-mid back diphthong
ḗ̩ă	ḗ̩ă	eːa	1	diphthong	from long unrounded close-mid front to unrounded open front diphthong
ʋ̆ė̱̃	ʋ̆ė̱̃	uə	1	diphthong	from rounded close back to unrounded mid central diphthong
ḕò	ḕò	ɛːɔ	1	diphthong	from long unrounded open-mid front to rounded open-mid back diphthong
ā̩ò	ā̩ò	aːɔ	1	diphthong	from long unrounded open front to rounded open-mid back diphthong
a͜ā	a͜ā	aː	1	vowel	long unrounded open front vowel
oͮā	oͮā	oaː	1	diphthong	from rounded close-mid back to long unrounded open front diphthong
ʋ̩̄a	ʋ̩̄a	uːa	2	diphthong	from long rounded close back to unrounded open front diphthong
ʋͧ͜a	ʋͧ͜a	ua	1	diphthong	from rounded close back to unrounded open front diphthong
ȧ̩	ȧ̩	ɐ	1	vowel	unrounded near-open central vowel
ʋ̄ò̱	ʋ̄ò̱	uːɔ	3	diphthong	from long rounded close back to rounded open-mid back diphthong
ʋ̄ė	ʋ̄ė	uːə	1	diphthong	from long rounded close back to unrounded mid central diphthong
u͜ĕ̀	u͜ĕ̀	yɛ	1	diphthong	from rounded close front to unrounded open-mid front diphthong
ʋ̄ë̱	ʋ̄ë̱	uːɛ	6	diphthong	from long rounded close back to unrounded open-mid front diphthong
r̍	r̍	rˡ	16	consonant	with-lateral-release voiced alveolar trill consonant
ó͜ă	ó͜ă	oa	1	diphthong	from rounded close-mid back to unrounded open front diphthong
œ̱̀͜oͮ	œ̱̀͜oͮ	œo	1	diphthong	from rounded open-mid front to rounded close-mid back diphthong
òʋ̱	òʋ̱	ɔu	8	diphthong	from rounded open-mid back to rounded close back diphthong
œ̱̀oͮ̄	œ̱̀oͮ̄	œoː	1	diphthong	from rounded open-mid front to long rounded close-mid back diphthong
ʋ̩̆a̱ͦ̃	ʋ̩̆a̱ͦ̃	uɒ	1	diphthong	from rounded close back to rounded open back diphthong
ḕa̱	ḕa̱	ɛːa	2	diphthong	from long unrounded open-mid front to unrounded open front diphthong
oḕ	oḕ	oɛː	1	diphthong	from rounded close-mid back to long unrounded open-mid front diphthong
éă	éă	ea	1	diphthong	from unrounded close-mid front to unrounded open front diphthong
ao	ao	ao	3	diphthong	from unrounded open front to rounded close-mid back diphthong
œ̩̆u̱	œ̩̆u̱	øy	1	diphthong	from rounded close-mid front to rounded close front diphthong
a̱ͤoͮ	a̱ͤoͮ	æo	1	diphthong	from unrounded near-open front to rounded close-mid back diphthong
ò̱͜œ̄̀	ò̱͜œ̄̀	ɔœː	3	diphthong	from rounded open-mid back to long rounded open-mid front diphthong
œͦ̆o̱ͮ	œͦ̆o̱ͮ	ɞo	3	diphthong	from rounded open-mid central to rounded close-mid back diphthong
œ̆̀o̱ͮ	œ̆̀o̱ͮ	œo	1	diphthong	from rounded open-mid front to rounded close-mid back diphthong
ò͜ʋ	ò͜ꭒ	ɔu	1	diphthong	from rounded open-mid back to rounded close back diphthong
uͨ̄	uͨ̄	yː	3	vowel	long rounded close front vowel
ŏ̀ó̱	ŏ̀ó̱	ɔo	2	diphthong	from rounded open-mid back to rounded close-mid back diphthong
a̱ͤĩ	a̱ͤĩ	æɪ̃	1	diphthong	from unrounded near-open front to nasalized unrounded near-close near-front diphthong
aḕ	aḕ	aɛː	1	diphthong	from unrounded open front to long unrounded open-mid front diphthong
aó̃	aó̃	aõ	2	diphthong	from unrounded open front to nasalized rounded close-mid back diphthong
a͜i̱	a͜i̱	ai	4	diphthong	from unrounded open front to unrounded close front diphthong
d̯̄	d̯̄	dː	1	consonant	long voiced alveolar stop consonant
l̷̄	l̷̄	ʟː	2	consonant	long voiced velar lateral approximant consonant
õ̱	õ̱	õ	1	vowel	nasalized rounded close-mid back vowel
œ̱̀ʋ̆̀	œ̱̀ʋ̆̀	œʊ	1	diphthong	from rounded open-mid front to rounded near-close near-back diphthong
ʋ̄́	ʋ̄́	u	1	vowel	rounded close back vowel
dͭ	dͭ	d̥	12	consonant	devoiced voiced alveolar stop consonant
áè̱	áè̱	ɑɛ	2	diphthong	from unrounded open back to unrounded open-mid front diphthong
eͥ̆ă	eͥ̆ă	ea	1	diphthong	from unrounded close-mid front to unrounded open front diphthong
ēė̱	ēė̱	eːə	4	diphthong	from long unrounded close-mid front to unrounded mid central diphthong
ãĩ̱	ãĩ̱	ãi	1	diphthong	from nasalized unrounded open front to unrounded close front diphthong
a̱è̩̃	a̱è̩̃	aɛ̃	2	diphthong	from unrounded open front to nasalized unrounded open-mid front diphthong
ằè͋	ằè͋	aɛ	1	diphthong	from unrounded open front to unrounded open-mid front diphthong
ĕ̇i̱	ĕ̇i̱	ei	1	diphthong	from unrounded close-mid front to unrounded close front diphthong
ā̩é̩	ā̩é̩	aːe	1	diphthong	from long unrounded open front to unrounded close-mid front diphthong
ăa̩ͤ̆	ăa̩ͤ̆	aæ	1	diphthong	from unrounded open front to unrounded near-open front diphthong
ăī	ăī	aiː	1	diphthong	from unrounded open front to long unrounded close front diphthong
ăĭ̩	ăĭ̩	aɪ	1	diphthong	from unrounded open front to unrounded near-close near-front diphthong
ãẽ̱	ãẽ̱	ãe	4	diphthong	from nasalized unrounded open front to unrounded close-mid front diphthong
ë̃	ë̃	ɛ	3	vowel	unrounded open-mid front vowel
ù̃ė̱	ù̃ė̱	ỹə	1	diphthong	from nasalized rounded close front to unrounded mid central diphthong
ắ̩	ắ̩	ɑ	4	vowel	unrounded open back vowel
ï̩̆	ï̩̆	ɪ	1	vowel	unrounded near-close near-front vowel
ă̩̇	ă̩̇	ɐ	1	vowel	unrounded near-open central vowel
īȧ̱	īȧ̱	iːɐ	1	diphthong	from long unrounded close front to unrounded near-open central diphthong
œ̱̀ʋ̄̀	œ̱̀ʋ̄̀	œʊː	1	diphthong	from rounded open-mid front to long rounded near-close near-back diphthong
ăo̱	ăo̱	ao	2	diphthong	from unrounded open front to rounded close-mid back diphthong
a̱͜òyè̱	a̱͜ò y è̱	aɔ j ɛ	2	unknownsound	
eͥ̆i	eͥ̆i	ei	1	diphthong	from unrounded close-mid front to unrounded close front diphthong
a̱͜òy	a̱͜ò y	aɔ j	1	unknownsound	
œ̱̀ò̃	œ̱̀ò̃	œɔ̃	9	diphthong	from rounded open-mid front to nasalized rounded open-mid back diphthong
ì̩è̱	ì̩è̱	ɪɛ	1	diphthong	from unrounded near-close near-front to unrounded open-mid front diphthong
ĕ̱̀	ĕ̱̀	ɛ	3	vowel	unrounded open-mid front vowel
ʋ̱̩̀	ʋ̱̩̀	u	1	vowel	rounded close back vowel
ȧ̱è̄̃	ȧ̱è̄̃	ɐɛ̃ː	1	diphthong	from unrounded near-open central to long nasalized unrounded open-mid front diphthong
c̵͜	c̵͜	ʃ	1	consonant	voiceless post-alveolar sibilant fricative consonant
a̱̩è̃	a̱̩è̃	aɛ̃	1	diphthong	from unrounded open front to nasalized unrounded open-mid front diphthong
s͜	s͜	s	1	consonant	voiceless alveolar sibilant fricative consonant
aͦ̃ė̃	aͦ̃ė̃	ɑə̃	1	diphthong	from unrounded open back to nasalized unrounded mid central diphthong
àī̩	àī̩	aiː	1	diphthong	from unrounded open front to long unrounded close front diphthong
oͮ̃	oͮ̃	õ	16	vowel	nasalized rounded close-mid back vowel
eͥ̃	eͥ̃	ẽ	9	vowel	nasalized unrounded close-mid front vowel
i̩a̱ͦ	i̩a̱ͦ	ɪɒ	1	diphthong	from unrounded near-close near-front to rounded open back diphthong
i̩ă̩	i̩ă̩	ɪa	1	diphthong	from unrounded near-close near-front to unrounded open front diphthong
ī̀è̱	ī̀è̱	ɪːɛ	4	diphthong	from long unrounded near-close near-front to unrounded open-mid front diphthong
œù̱	œù̱	øʏ	1	diphthong	from rounded close-mid front to rounded near-close near-front diphthong
a̱ͤó	a̱ͤó	æo	1	diphthong	from unrounded near-open front to rounded close-mid back diphthong
ò̱͜œ̄	ò̱͜œ̄	ɔøː	2	diphthong	from rounded open-mid back to long rounded close-mid front diphthong
ȧ̩ʋ	ȧ̩ꭒ	ɐu	1	diphthong	from unrounded near-open central to rounded close back diphthong
ʋ̄a̱ͦ	ʋ̄a̱ͦ	uːɒ	1	diphthong	from long rounded close back to rounded open back diphthong
ʋ̩̄a̩	ʋ̩̄a̩	uːa	1	diphthong	from long rounded close back to unrounded open front diphthong
ʋ̩̄ă̩	ʋ̩̄ă̩	uːa	1	diphthong	from long rounded close back to unrounded open front diphthong
ḕè̱	ḕè̱	ɛːɛ	1	diphthong	from long unrounded open-mid front to unrounded open-mid front diphthong
ŭ̀a̱	ŭ̀a̱	ʏa	1	diphthong	from rounded near-close near-front to unrounded open front diphthong
ū̀ȧ̱	ū̀ȧ̱	ʏːɐ	1	diphthong	from long rounded near-close near-front to unrounded near-open central diphthong
ʋ͜ắ	ʋ͜ắ	ua	1	diphthong	from rounded close back to unrounded open front diphthong
oͮ͜a	oͮ͜a	oa	1	diphthong	from rounded close-mid back to unrounded open front diphthong
ʋ̄ȧ̱	ʋ̄ȧ̱	uːɐ	1	diphthong	from long rounded close back to unrounded near-open central diphthong
ēë̱	ēë̱	eːɛ	1	diphthong	from long unrounded close-mid front to unrounded open-mid front diphthong
ăè	ăè	aɛ	1	diphthong	from unrounded open front to unrounded open-mid front diphthong
aė̱	aė̱	aə	1	diphthong	from unrounded open front to unrounded mid central diphthong
t̮̄	t̮̄	tʲ	2	consonant	palatalized voiceless alveolar stop consonant
iȯ̱	iȯ̱	iɔ	1	diphthong	from unrounded close front to rounded open-mid back diphthong
a̱è	a̱è	aɛ	3	diphthong	from unrounded open front to unrounded open-mid front diphthong
ŏ̩́	ŏ̩́	o	2	vowel	rounded close-mid back vowel
ṉ̇͜	ṉ̇͜	ŋ	1	consonant	voiced velar nasal consonant
ãò̃	ãò̃	ãɔ̃	3	diphthong	from nasalized unrounded open front to nasalized rounded open-mid back diphthong
aͦ̃͜é̃	aͦ̃͜é̃	ɑẽ	2	diphthong	from unrounded open back to nasalized unrounded close-mid front diphthong
īa̱ͦ	īa̱ͦ	iːɒ	1	diphthong	from long unrounded close front to rounded open back diphthong
uè	uè	yɛ	2	diphthong	from rounded close front to unrounded open-mid front diphthong
ă͜ĕ́	ă͜ĕ́	ae	1	diphthong	from unrounded open front to unrounded close-mid front diphthong
ūè	ūè	ỹːɛ	3	diphthong	from long nasalized rounded close front to unrounded open-mid front diphthong
uĕ̀	uĕ̀	yɛ	1	diphthong	from rounded close front to unrounded open-mid front diphthong
ū̀è̱	ū̀è̱	ʏːɛ	1	diphthong	from long rounded near-close near-front to unrounded open-mid front diphthong
i͋	i͋	i	1	vowel	unrounded close front vowel
ʋ̩̆è̩	ʋ̩̆è̩	uɛ	1	diphthong	from rounded close back to unrounded open-mid front diphthong
i̩è̱	i̩è̱	ɪɛ	2	diphthong	from unrounded near-close near-front to unrounded open-mid front diphthong
a͜ʋ	a͜ꭒ	au	1	diphthong	from unrounded open front to rounded close back diphthong
u̩è	u̩è	yɛ	1	diphthong	from rounded close front to unrounded open-mid front diphthong
èĩ̱	èĩ̱	ɛi	1	diphthong	from unrounded open-mid front to unrounded close front diphthong
ṓë̱	ṓë̱	oːɛ	2	diphthong	from long rounded close-mid back to unrounded open-mid front diphthong
ʋ̆͜	ʋ̆͜	u	4	vowel	rounded close back vowel
ʋ̆ă	ʋ̆ă	ua	1	diphthong	from rounded close back to unrounded open front diphthong
óè	óè	oɛ	1	diphthong	from rounded close-mid back to unrounded open-mid front diphthong
ʋë̱	ꭒë̱	uɛ	1	diphthong	from rounded close back to unrounded open-mid front diphthong
ʋȯ̱	ꭒȯ̱	uɔ	1	diphthong	from rounded close back to rounded open-mid back diphthong
i̩è	i̩è	ɪɛ	1	diphthong	from unrounded near-close near-front to unrounded open-mid front diphthong
ì̩a	ì̩a	ɪa	1	diphthong	from unrounded near-close near-front to unrounded open front diphthong
ė͋	ė͋	e	1	vowel	unrounded close-mid front vowel
a̱͜aͤ̄	a̱͜aͤ̄	aæː	1	diphthong	from unrounded open front to long unrounded near-open front diphthong
ā͜é	ā͜é	aːe	1	diphthong	from long unrounded open front to unrounded close-mid front diphthong
ăĕ́	ăĕ́	ae	1	diphthong	from unrounded open front to unrounded close-mid front diphthong
ia	ia	ia	1	diphthong	from unrounded close front to unrounded open front diphthong
o͜ĭ	o͜ĭ	oɪ	1	diphthong	from rounded close-mid back to unrounded near-close near-front diphthong
a̱ͦ̃è̃	a̱ͦ̃è̃	ɒɛ̃	2	diphthong	from rounded open back to nasalized unrounded open-mid front diphthong
īë	īë	iːɛ	1	diphthong	from long unrounded close front to unrounded open-mid front diphthong
iè̱	iè̱	iɛ	3	diphthong	from unrounded close front to unrounded open-mid front diphthong
ă̩ó	ă̩ó	ao	1	diphthong	from unrounded open front to rounded close-mid back diphthong
ŏ̩̀ĭ	ŏ̩̀ĭ	ɔɪ	3	diphthong	from rounded open-mid back to unrounded near-close near-front diphthong
t̄	t̄	tː	4	consonant	long voiceless alveolar stop consonant
ẽ̩ĩ̱	ẽ̩ĩ̱	ei	2	diphthong	from unrounded close-mid front to unrounded close front diphthong
è̩i̱	è̩i̱	ɛi	1	diphthong	from unrounded open-mid front to unrounded close front diphthong
a̱ͤè̃	a̱ͤè̃	æɛ̃	1	diphthong	from unrounded near-open front to nasalized unrounded open-mid front diphthong
ằĕ̀	ằĕ̀	aɛ	1	diphthong	from unrounded open front to unrounded open-mid front diphthong
ẽi̱	ẽi̱	ẽi	1	diphthong	from nasalized unrounded close-mid front to unrounded close front diphthong
œ́̃	œ́̃	ø̃	1	vowel	nasalized rounded close-mid front vowel
oͮ̄o̱ͮ	oͮ̄o̱ͮ	oːo	2	diphthong	from long rounded close-mid back to rounded close-mid back diphthong
ʋ̄̀ė̱	ʋ̄̀ė̱	ʊːə	3	diphthong	from long rounded near-close near-back to unrounded mid central diphthong
ū̀ė̱	ū̀ė̱	ʏːə	1	diphthong	from long rounded near-close near-front to unrounded mid central diphthong
œ̱̀i	œ̱̀i	œi	2	diphthong	from rounded open-mid front to unrounded close front diphthong
ʋ͜	ʋ͜	u	7	vowel	rounded close back vowel
ă̩oͮ	ă̩oͮ	ao	2	diphthong	from unrounded open front to rounded close-mid back diphthong
